patch,championId,championName,win_rate,pick_rate,ban_rate,games,cluster,tier
15.20,266,Aatrox,50.0,4.082,9.2,10,0,S
15.20,103,Ahri,50.0,4.082,3.6,10,1,B
15.20,84,Akali,40.0,4.082,9.6,10,0,S
15.20,166,Akshan,30.0,4.082,5.6,10,0,S
15.20,12,Alistar,40.0,4.082,2.4,10,1,B
15.20,799,Ambessa,80.0,4.082,12.4,10,0,S
15.20,32,Amumu,50.0,4.082,5.2,10,0,S
15.20,34,Anivia,60.0,4.082,3.2,10,1,B
15.20,523,Aphelios,30.0,4.082,2.0,10,1,B
15.20,22,Ashe,50.0,4.082,7.6,10,0,S
15.20,893,Aurora,40.0,4.082,3.2,10,1,B
15.20,432,Bard,60.0,4.082,0.8,10,1,B
15.20,63,Brand,30.0,4.082,3.2,10,1,B
15.20,201,Braum,50.0,4.082,3.6,10,1,B
15.20,233,Briar,50.0,4.082,14.4,10,0,S
15.20,51,Caitlyn,30.0,4.082,15.2,10,0,S
15.20,164,Camille,50.0,4.082,1.2,10,1,B
15.20,31,Chogath,60.0,4.082,0.8,10,1,B
15.20,42,Corki,40.0,4.082,0.0,10,3,C
15.20,122,Darius,40.0,4.082,14.4,10,0,S
15.20,131,Diana,40.0,4.082,16.8,10,0,S
15.20,36,DrMundo,50.0,4.082,14.4,10,0,S
15.20,119,Draven,90.0,4.082,22.4,10,0,S
15.20,245,Ekko,50.0,4.082,3.2,10,1,B
15.20,81,Ezreal,20.0,4.082,2.4,10,1,B
15.20,114,Fiora,70.0,4.082,8.8,10,0,S
15.20,105,Fizz,70.0,4.082,12.4,10,0,S
15.20,3,Galio,50.0,4.082,4.4,10,0,S
15.20,86,Garen,50.0,4.082,9.2,10,0,S
15.20,79,Gragas,40.0,4.082,1.2,10,1,B
15.20,910,Hwei,40.0,4.082,4.4,10,0,S
15.20,39,Irelia,20.0,4.082,10.8,10,0,S
15.20,427,Ivern,60.0,4.082,0.4,10,1,B
15.20,59,JarvanIV,50.0,4.082,4.4,10,0,S
15.20,24,Jax,60.0,4.082,16.0,10,0,S
15.20,126,Jayce,50.0,4.082,1.2,10,1,B
15.20,202,Jhin,60.0,4.082,2.4,10,1,B
15.20,222,Jinx,50.0,4.082,7.2,10,0,S
15.20,145,Kaisa,20.0,4.082,0.4,10,1,B
15.20,43,Karma,70.0,4.082,4.4,10,0,S
15.20,30,Karthus,70.0,4.082,0.8,10,1,B
15.20,55,Katarina,30.0,4.082,5.6,10,0,S
15.20,141,Kayn,80.0,4.082,8.0,10,0,S
15.20,121,Khazix,50.0,4.082,3.2,10,1,B
15.20,7,Leblanc,60.0,4.082,14.4,10,0,S
15.20,64,LeeSin,60.0,4.082,2.4,10,1,B
15.20,89,Leona,60.0,4.082,4.0,10,0,S
15.20,876,Lillia,40.0,4.082,5.2,10,0,S
15.20,236,Lucian,60.0,4.082,3.2,10,1,B
15.20,117,Lulu,60.0,4.082,6.8,10,0,S
15.20,99,Lux,50.0,4.082,11.6,10,0,S
15.20,54,Malphite,60.0,4.082,12.4,10,0,S
15.20,90,Malzahar,70.0,4.082,13.2,10,0,S
15.20,11,MasterYi,30.0,4.082,19.2,10,0,S
15.20,800,Mel,60.0,4.082,36.8,10,0,S
15.20,902,Milio,50.0,4.082,8.8,10,0,S
15.20,21,MissFortune,60.0,4.082,3.6,10,0,S
15.20,62,MonkeyKing,30.0,4.082,2.8,10,1,B
15.20,82,Mordekaiser,30.0,4.082,8.8,10,0,S
15.20,25,Morgana,50.0,4.082,38.0,10,0,S
15.20,950,Naafiri,80.0,4.082,5.2,10,0,S
15.20,267,Nami,50.0,4.082,6.0,10,0,S
15.20,111,Nautilus,30.0,4.082,10.8,10,0,S
15.20,56,Nocturne,40.0,4.082,8.4,10,0,S
15.20,20,Nunu,70.0,4.082,2.0,10,1,B
15.20,61,Orianna,50.0,4.082,0.4,10,1,B
15.20,516,Ornn,40.0,4.082,0.4,10,1,B
15.20,80,Pantheon,40.0,4.082,4.8,10,0,S
15.20,78,Poppy,70.0,4.082,8.4,10,0,S
15.20,555,Pyke,50.0,4.082,25.6,10,0,S
15.20,497,Rakan,40.0,4.082,0.0,10,3,C
15.20,58,Renekton,70.0,4.082,7.6,10,0,S
15.20,107,Rengar,70.0,4.082,10.4,10,0,S
15.20,235,Senna,40.0,4.082,2.8,10,1,B
15.20,147,Seraphine,50.0,4.082,3.6,10,1,B
15.20,875,Sett,50.0,4.082,5.6,10,0,S
15.20,98,Shen,20.0,4.082,0.8,10,1,B
15.20,27,Singed,60.0,4.082,1.6,10,1,B
15.20,14,Sion,40.0,4.082,2.4,10,1,B
15.20,15,Sivir,70.0,4.082,6.4,10,0,S
15.20,901,Smolder,30.0,4.082,4.0,10,1,B
15.20,37,Sona,30.0,4.082,0.0,10,3,C
15.20,16,Soraka,40.0,4.082,2.0,10,1,B
15.20,50,Swain,70.0,4.082,4.0,10,0,S
15.20,517,Sylas,50.0,4.082,12.8,10,0,S
15.20,134,Syndra,70.0,4.082,3.2,10,1,B
15.20,223,TahmKench,50.0,4.082,1.2,10,1,B
15.20,163,Taliyah,60.0,4.082,0.4,10,1,B
15.20,17,Teemo,40.0,4.082,10.0,10,0,S
15.20,412,Thresh,50.0,4.082,4.8,10,0,S
15.20,18,Tristana,50.0,4.082,4.4,10,0,S
15.20,48,Trundle,50.0,4.082,1.6,10,1,B
15.20,23,Tryndamere,50.0,4.082,6.0,10,0,S
15.20,4,TwistedFate,80.0,4.082,1.2,10,1,B
15.20,29,Twitch,60.0,4.082,11.6,10,0,S
15.20,77,Udyr,50.0,4.082,1.6,10,1,B
15.20,6,Urgot,50.0,4.082,0.8,10,1,B
15.20,67,Vayne,60.0,4.082,9.2,10,0,S
15.20,45,Veigar,70.0,4.082,1.2,10,1,B
15.20,161,Velkoz,60.0,4.082,2.4,10,1,B
15.20,711,Vex,50.0,4.082,2.8,10,1,B
15.20,254,Vi,40.0,4.082,1.2,10,1,B
15.20,234,Viego,60.0,4.082,8.4,10,0,S
15.20,8,Vladimir,50.0,4.082,10.0,10,0,S
15.20,106,Volibear,60.0,4.082,11.2,10,0,S
15.20,19,Warwick,60.0,4.082,14.0,10,0,S
15.20,498,Xayah,50.0,4.082,0.8,10,1,B
15.20,101,Xerath,70.0,4.082,8.8,10,0,S
15.20,5,XinZhao,40.0,4.082,1.6,10,1,B
15.20,157,Yasuo,40.0,4.082,17.2,10,0,S
15.20,777,Yone,50.0,4.082,3.6,10,1,B
15.20,804,Yunara,70.0,4.082,5.6,10,0,S
15.20,238,Zed,50.0,4.082,20.0,10,0,S
15.20,26,Zilean,60.0,4.082,1.6,10,1,B
15.20,143,Zyra,70.0,4.082,7.2,10,0,S
15.20,53,Blitzcrank,55.56,3.673,17.6,9,0,S
15.20,150,Gnar,66.67,3.673,0.8,9,1,B
15.20,104,Graves,55.56,3.673,1.6,9,1,B
15.20,10,Kayle,44.44,3.673,0.8,9,1,B
15.20,76,Nidalee,55.56,3.673,0.4,9,1,B
15.20,246,Qiyana,44.44,3.673,8.8,9,0,S
15.20,92,Riven,55.56,3.673,2.8,9,1,B
15.20,142,Zoe,44.44,3.673,3.6,9,1,B
15.20,69,Cassiopeia,25.0,3.265,1.2,8,1,B
15.20,887,Gwen,50.0,3.265,4.8,8,0,S
15.20,203,Kindred,62.5,3.265,2.4,8,1,B
15.20,96,KogMaw,50.0,3.265,1.6,8,1,B
15.20,127,Lissandra,62.5,3.265,0.8,8,1,B
15.20,895,Nilah,75.0,3.265,2.8,8,1,B
15.20,33,Rammus,62.5,3.265,2.0,8,1,B
15.20,35,Shaco,75.0,3.265,25.2,8,0,S
15.20,120,Hecarim,42.86,2.857,2.4,7,1,B
15.20,897,KSante,42.86,2.857,7.2,7,0,S
15.20,85,Kennen,42.86,2.857,1.2,7,1,B
15.20,75,Nasus,57.14,2.857,1.2,7,1,B
15.20,518,Neeko,42.86,2.857,2.0,7,1,B
15.20,526,Rell,42.86,2.857,1.2,7,1,B
15.20,68,Rumble,57.14,2.857,0.4,7,1,B
15.20,13,Ryze,14.29,2.857,0.8,7,1,B
15.20,360,Samira,28.57,2.857,5.2,7,1,B
15.20,110,Varus,28.57,2.857,1.6,7,1,B
15.20,350,Yuumi,71.43,2.857,6.4,7,0,S
15.20,221,Zeri,42.86,2.857,0.0,7,3,C
15.20,28,Evelynn,33.33,2.449,4.8,6,2,A
15.20,240,Kled,66.67,2.449,0.8,6,2,A
15.20,888,Renata,66.67,2.449,0.4,6,2,A
15.20,113,Sejuani,50.0,2.449,0.0,6,3,C
15.20,102,Shyvana,33.33,2.449,0.0,6,3,C
15.20,91,Talon,33.33,2.449,5.6,6,2,A
15.20,112,Viktor,83.33,2.449,1.2,6,2,A
15.20,1,Annie,40.0,2.041,0.4,5,2,A
15.20,136,AurelionSol,40.0,2.041,2.0,5,2,A
15.20,268,Azir,40.0,2.041,0.0,5,3,C
15.20,60,Elise,40.0,2.041,0.0,5,3,C
15.20,9,FiddleSticks,60.0,2.041,1.6,5,2,A
15.20,40,Janna,40.0,2.041,2.4,5,2,A
15.20,2,Olaf,60.0,2.041,0.4,5,2,A
15.20,44,Taric,80.0,2.041,0.0,5,3,C
15.20,83,Yorick,20.0,2.041,12.0,5,2,A
15.20,41,Gangplank,25.0,1.633,2.0,4,2,A
15.20,420,Illaoi,100.0,1.633,7.2,4,2,A
15.20,133,Quinn,50.0,1.633,6.0,4,2,A
15.20,115,Ziggs,25.0,1.633,0.4,4,2,A
15.20,200,Belveth,33.33,1.224,15.2,3,2,A
15.20,74,Heimerdinger,33.33,1.224,2.8,3,2,A
15.20,421,RekSai,33.33,1.224,0.8,3,2,A
15.20,154,Zac,33.33,1.224,1.6,3,2,A
15.20,429,Kalista,50.0,0.816,0.0,2,3,C
15.20,57,Maokai,0.0,0.816,0.0,2,4,D
15.20,72,Skarner,50.0,0.816,0.4,2,2,A
15.20,38,Kassadin,0.0,0.408,1.2,1,4,D
