patch,championId,championName,games,wins,win_rate,pick_rate
15.20,202,Jhin,14,6,42.86,22.581
15.20,222,Jinx,13,6,46.15,20.968
15.20,43,Karma,13,6,46.15,20.968
15.20,238,Zed,12,6,50.0,19.355
15.20,51,Caitlyn,11,8,72.73,17.742
15.20,267,Nami,11,6,54.55,17.742
15.20,131,Diana,10,4,40.0,16.129
15.20,36,DrMundo,10,4,40.0,16.129
15.20,39,Irelia,10,4,40.0,16.129
15.20,145,Kaisa,10,7,70.0,16.129
15.20,25,Morgana,10,5,50.0,16.129
15.20,157,Yasuo,10,5,50.0,16.129
15.20,84,Akali,8,5,62.5,12.903
15.20,32,Amumu,8,5,62.5,12.903
15.20,63,Brand,8,5,62.5,12.903
15.20,245,Ekko,8,3,37.5,12.903
15.20,902,Milio,8,4,50.0,12.903
15.20,103,Ahri,7,4,57.14,11.29
15.20,901,Smolder,7,0,0.0,11.29
15.20,67,Vayne,7,4,57.14,11.29
15.20,112,Viktor,7,2,28.57,11.29
15.20,106,Volibear,7,5,71.43,11.29
15.20,81,Ezreal,6,2,33.33,9.677
15.20,121,Khazix,6,5,83.33,9.677
15.20,236,Lucian,6,5,83.33,9.677
15.20,11,MasterYi,6,4,66.67,9.677
15.20,82,Mordekaiser,6,1,16.67,9.677
15.20,111,Nautilus,6,2,33.33,9.677
15.20,555,Pyke,6,2,33.33,9.677
15.20,246,Qiyana,6,4,66.67,9.677
15.20,107,Rengar,6,3,50.0,9.677
15.20,875,Sett,6,2,33.33,9.677
15.20,14,Sion,6,4,66.67,9.677
15.20,15,Sivir,6,2,33.33,9.677
15.20,517,Sylas,6,2,33.33,9.677
15.20,134,Syndra,6,3,50.0,9.677
15.20,412,Thresh,6,2,33.33,9.677
15.20,45,Veigar,6,3,50.0,9.677
15.20,101,Xerath,6,4,66.67,9.677
15.20,266,Aatrox,5,4,80.0,8.065
15.20,22,Ashe,5,4,80.0,8.065
15.20,893,Aurora,5,3,60.0,8.065
15.20,432,Bard,5,2,40.0,8.065
15.20,31,Chogath,5,2,40.0,8.065
15.20,122,Darius,5,2,40.0,8.065
15.20,910,Hwei,5,3,60.0,8.065
15.20,24,Jax,5,1,20.0,8.065
15.20,55,Katarina,5,3,60.0,8.065
15.20,7,Leblanc,5,2,40.0,8.065
15.20,64,LeeSin,5,2,40.0,8.065
15.20,117,Lulu,5,3,60.0,8.065
15.20,99,Lux,5,1,20.0,8.065
15.20,54,Malphite,5,3,60.0,8.065
15.20,800,Mel,5,4,80.0,8.065
15.20,516,Ornn,5,2,40.0,8.065
15.20,147,Seraphine,5,2,40.0,8.065
15.20,19,Warwick,5,3,60.0,8.065
15.20,777,Yone,5,3,60.0,8.065
15.20,34,Anivia,4,1,25.0,6.452
15.20,233,Briar,4,3,75.0,6.452
15.20,164,Camille,4,3,75.0,6.452
15.20,79,Gragas,4,1,25.0,6.452
15.20,10,Kayle,4,3,75.0,6.452
15.20,89,Leona,4,3,75.0,6.452
15.20,90,Malzahar,4,2,50.0,6.452
15.20,21,MissFortune,4,2,50.0,6.452
15.20,56,Nocturne,4,2,50.0,6.452
15.20,68,Rumble,4,2,50.0,6.452
15.20,35,Shaco,4,2,50.0,6.452
15.20,27,Singed,4,2,50.0,6.452
15.20,37,Sona,4,2,50.0,6.452
15.20,50,Swain,4,2,50.0,6.452
15.20,77,Udyr,4,2,50.0,6.452
15.20,254,Vi,4,2,50.0,6.452
15.20,234,Viego,4,2,50.0,6.452
15.20,154,Zac,4,2,50.0,6.452
15.20,143,Zyra,4,1,25.0,6.452
15.20,523,Aphelios,3,0,0.0,4.839
15.20,53,Blitzcrank,3,3,100.0,4.839
15.20,201,Braum,3,3,100.0,4.839
15.20,119,Draven,3,1,33.33,4.839
15.20,105,Fizz,3,1,33.33,4.839
15.20,3,Galio,3,1,33.33,4.839
15.20,41,Gangplank,3,2,66.67,4.839
15.20,59,JarvanIV,3,2,66.67,4.839
15.20,141,Kayn,3,1,33.33,4.839
15.20,62,MonkeyKing,3,1,33.33,4.839
15.20,360,Samira,3,3,100.0,4.839
15.20,16,Soraka,3,2,66.67,4.839
15.20,18,Tristana,3,1,33.33,4.839
15.20,6,Urgot,3,1,33.33,4.839
15.20,804,Yunara,3,2,66.67,4.839
15.20,221,Zeri,3,1,33.33,4.839
15.20,799,Ambessa,2,0,0.0,3.226
15.20,268,Azir,2,0,0.0,3.226
15.20,42,Corki,2,0,0.0,3.226
15.20,28,Evelynn,2,1,50.0,3.226
15.20,9,FiddleSticks,2,0,0.0,3.226
15.20,150,Gnar,2,2,100.0,3.226
15.20,120,Hecarim,2,0,0.0,3.226
15.20,427,Ivern,2,2,100.0,3.226
15.20,30,Karthus,2,0,0.0,3.226
15.20,203,Kindred,2,2,100.0,3.226
15.20,240,Kled,2,2,100.0,3.226
15.20,127,Lissandra,2,0,0.0,3.226
15.20,57,Maokai,2,2,100.0,3.226
15.20,75,Nasus,2,2,100.0,3.226
15.20,2,Olaf,2,1,50.0,3.226
15.20,80,Pantheon,2,2,100.0,3.226
15.20,888,Renata,2,1,50.0,3.226
15.20,235,Senna,2,1,50.0,3.226
15.20,98,Shen,2,2,100.0,3.226
15.20,163,Taliyah,2,1,50.0,3.226
15.20,91,Talon,2,2,100.0,3.226
15.20,23,Tryndamere,2,1,50.0,3.226
15.20,29,Twitch,2,2,100.0,3.226
15.20,110,Varus,2,1,50.0,3.226
15.20,8,Vladimir,2,0,0.0,3.226
15.20,115,Ziggs,2,1,50.0,3.226
15.20,26,Zilean,2,1,50.0,3.226
15.20,142,Zoe,2,2,100.0,3.226
15.20,12,Alistar,1,0,0.0,1.613
15.20,136,AurelionSol,1,1,100.0,1.613
15.20,200,Belveth,1,0,0.0,1.613
15.20,114,Fiora,1,0,0.0,1.613
15.20,86,Garen,1,1,100.0,1.613
15.20,104,Graves,1,0,0.0,1.613
15.20,887,Gwen,1,0,0.0,1.613
15.20,420,Illaoi,1,0,0.0,1.613
15.20,126,Jayce,1,1,100.0,1.613
15.20,897,KSante,1,0,0.0,1.613
15.20,38,Kassadin,1,1,100.0,1.613
15.20,85,Kennen,1,0,0.0,1.613
15.20,96,KogMaw,1,0,0.0,1.613
15.20,876,Lillia,1,0,0.0,1.613
15.20,950,Naafiri,1,0,0.0,1.613
15.20,76,Nidalee,1,0,0.0,1.613
15.20,895,Nilah,1,1,100.0,1.613
15.20,61,Orianna,1,1,100.0,1.613
15.20,78,Poppy,1,0,0.0,1.613
15.20,497,Rakan,1,0,0.0,1.613
15.20,33,Rammus,1,0,0.0,1.613
15.20,421,RekSai,1,1,100.0,1.613
15.20,58,Renekton,1,0,0.0,1.613
15.20,92,Riven,1,0,0.0,1.613
15.20,13,Ryze,1,0,0.0,1.613
15.20,223,TahmKench,1,1,100.0,1.613
15.20,17,Teemo,1,1,100.0,1.613
15.20,48,Trundle,1,0,0.0,1.613
15.20,4,TwistedFate,1,0,0.0,1.613
15.20,161,Velkoz,1,1,100.0,1.613
15.20,711,Vex,1,1,100.0,1.613
15.20,498,Xayah,1,1,100.0,1.613
15.20,5,XinZhao,1,0,0.0,1.613
15.20,350,Yuumi,1,0,0.0,1.613
